procedure id,#instructions,#samples,inYara?,0752c7e01025cf3689ce283e0389d388f7268048,b0e0853d1aa3c318627f92bec64fe7d42490cb3a,a0d9f148e319fb604d7a70f4b482a2d9d06232fb
465abcab3f5c26a37129ff20523f3e4e,92,3,False,0x4ab3c,0x4ce4c,0x4acac
469ef7f8983efe4ea297cf46c92b7cb1,40,3,False,0x4a680,0x4c990,0x4a7f0
46f4b2ff069135b3de555d025e27eb70,147,3,False,0x4b0a0,0x4d170,0x4b210
46f81a53a1c67ad81cd9015f22d16810,7,3,False,0x2bfc8,0x2ba88,0x2c108
4706daed3bd26e9d472a6ede1c8d013b,90,3,False,0x1858c,0x17b34,0x186cc
470fe516461a8194ab53c9896dcb72ff,30,1,False,-,0x3338,-
474cd284d1e3eedbfcce4f402639746b,202,1,False,0xfe24,-,-
47647952a62044bc5e759ba59d91a1da,25,3,False,0x517f0,0x530b0,0x51960
478b156fcde756c535222a3ee88646b3,33,3,True,0x27c54,0x27714,0x27d94
47e5ea357b08ae6b37f4ff4690f544cd,126,2,False,0x958c,-,0x96cc
47e68901768ef3547fdf320789add69f,163,3,False,0x3f2e8,0x41168,0x3f428
481c8cabd435810d07ef073c4965c389,183,3,False,0x10368,0xf658,0x104a8
482b6b6b1ceb5bcee231c15c178a8fbd,28,3,False,0x1cc28,0x1c6e8,0x1cd68
48417c7a12989f6fbc801fa6e02344c5,42,2,False,0x4b4,-,0x4bc
48ff15f085f2727cd367547b0a107b5f,2449,3,False,0x37cfc,0x377bc,0x37e3c
492735d56d971dfff688b8681e7d3aa4,377,3,False,0x44d5c,0x4678c,0x44ddc
49d11802003b50e686e6c8746118cfd2,65,3,False,0x111d8,0x104c8,0x11318
4a12627ca8f2051e49cfeb6a9c206013,152,3,False,0x325c8,0x32088,0x32708
4a8119c846241aefb1909684f4a1dcb2,22,3,False,0x1cbd0,0x1c690,0x1cd10
4b328ffc042ac009fa7d6f90eb854d6d,47,3,True,0x1f198,0x1ec58,0x1f2d8
4b6ed563b1305878509b8bf6ef8fedcd,32,3,False,0x23588,0x23048,0x236c8
4bce3adb1a6c6fcf36caf5c6419dfe92,108,1,False,-,0x6840,-
4d60e1af9dda1fa37599a4ffcbdc6410,18,3,False,0x53af0,0x54bd0,0x53c60
4d85f4095de9ce346cac0aa140944eb2,59,3,True,0x244e4,0x23fa4,0x24624
4da7a4316411c088c3c79efcf1b29e91,53,2,False,0xa0b4,-,0xa1f4
4e026751357bff2220b07e8e24e4dfd6,32,3,True,0xe440,0xd730,0xe580
4e9233c42052ecb9930db76d13f3aef6,56,3,False,0x4d150,0x4eae0,0x4d2c0
4ef88cbf1ac26750330a3cff84b3287d,64,3,False,0x433e0,0x44e10,0x43460
4f4394a3b1e608c2f89b716c9a51109a,83,3,True,0x263f8,0x25eb8,0x26538
4f9c126e562335c76bd23e8fa3b82917,40,3,True,0xbca0,0x6720,0xbde0
4f9d8853dee8a20d26b2a19aaaf3d9e6,631,3,False,0x26c1c,0x266dc,0x26d5c
4fafc929987d0cf4ec75e5d06f8ce797,167,1,False,-,0xfe5c,-
4fbb2f8760d2ced56235a038df66ead3,51,3,True,0x228f8,0x223b8,0x22a38
4fcbff8fa0361eca0321270a17a84159,27,3,False,0x52980,0x53b40,0x52af0
504d43bb0a00d7ce1de327e7bb41f61d,44,3,True,0x2bdd4,0x2b894,0x2bf14
510df3ed7cf57a24344ac37c6bfa4503,137,1,False,-,0x3110,-
512a88786302da7bd8a3268638901a5c,23,3,False,0x879c,0xa200,0x88dc
51fe6352db6e76317560126bdde9d277,87,2,False,0x7bd0,-,0x7d10
521ce24b1d155f4cc2d09872537c7fb4,199,3,True,0x25448,0x24f08,0x25588
5275b74e01ac4082391b9755d40806f1,46,1,False,-,0x918,-
5292f603ccc6fdefa5b31f0da4062187,209,1,False,0x18e0,-,-
5311ea00c6c5e0ff10dadacb1b08d119,21,3,True,0x3e8d0,0x3c270,0x3ea10
536bae5ec87dbc7bba6eae97bae80436,28,1,False,-,0x4abc0,-
53eead93e4bfb904a6c1b5edeca3b23c,75,3,True,0x27cdc,0x2779c,0x27e1c
53f1d9894d2487e41456897ebc2e208d,51,2,False,0x46e10,-,0x46f80
53fa5cca8d48c7993e9cf5ecb43d948f,22,1,False,-,-,0x4ffa4
54092d7046d85281f7cd8038cf121b7f,130,1,False,-,0x7110,-
543af4268be74ba8c3d84421c6a86434,40,1,False,-,0xa15c,-
54774ff731602ba6868e126ead9a1588,133,3,True,0x10150,0xf440,0x10290
548ba1ed079e33b28f71098cb16ee3cb,296,2,False,0x8cd0,-,0x8e10
54a403f03ef88310cd5529783c9483a0,167,1,False,-,0x6480,-
557176bcab4d2b5e096f055443f49457,21,2,False,0x9534,-,0x9674
568ea0e0ab0f6579edf6fa460c3b0b04,116,2,False,0x1c36c,-,0x1c4ac
569eca5d38a4e726d51d950b8e42ef57,150,3,False,0x13870,0x12b60,0x139b0
571d5b1ff271feb20bdc8494c8e907f9,29,3,True,0x22d40,0x22800,0x22e80
5767254eca5f50c1572858296ea4a1c0,101,3,False,0x42470,0x441c0,0x425b0
588018c6eabae41b89ddc1345345c0c5,37,3,False,0x162f0,0x155e0,0x16430
590aa285e1266cd8d16f40341d04f624,542,3,False,0x20c28,0x206e8,0x20d68
594eb26e29ec249520b42148980e7da4,114,2,False,0x4c6bc,-,0x4c82c
59c595444221569f7ed084af18aefd1e,11,3,False,0xe7b8,0xdaa8,0xe8f8
5a15df5cef20061e03a2d93090d5707d,21,2,True,0x6a04,-,0x6b94
5a4daf2eb5d2324f2e7fe5e8bce99e05,230,2,False,0x9788,-,0x98c8
5b1c09394f16c01296c709549503f177,98,3,True,0x21d50,0x21810,0x21e90
5b709382780afd2b970933698dd1ae05,100,3,False,0xcfe0,0xc260,0xd120
5b7ab590422cc258864b376bf19b3151,37,3,False,0x17014,0x16338,0x17154
5bb8159fcf68f94c0c5a6e38acf77cc7,540,2,False,0x2e14,-,0x2dfc
5bc35916e5343d98c6dce4abc548f511,35,3,False,0x40dac,0x4227c,0x40eec
5be13c012d02b9f0125edf6c35cc31b7,33,3,True,0x3eb2c,0x3c4cc,0x3ec6c
5bf25134822a1938db141e248d9b6bdf,47,3,False,0x46570,0x48210,0x466e0
5c104c367323b16601513e900949be02,413,1,False,-,-,0x53fc
5c5c1a1893248a5573c4b15a867eab22,43,3,False,0x175c0,0x16720,0x17700
5cc8fba60fabc38df8aa471f63b7da8f,24,3,False,0x19764,0x18b20,0x198a4
5cf6cb9bcabe037ab863c6d51be5f29e,13,3,False,0x40e60,0x42ce0,0x40fa0
5d3d88f511994c0fda18871484f09e71,589,3,False,0x187d8,0x17d80,0x18918
5d91980e27930f4b862043bf58fe54ad,98,3,False,0x4a250,0x4c2c0,0x4a3c0
5dd1c4b62a2d5ed7b53b338420c645a9,68,3,False,0x42220,0x43f70,0x42360
5ddcb5ed60996dfe0556906b93367895,7,3,False,0xce20,0xc080,0xcf60
5e4c6de88717defef1b68c8defd8f87e,268,1,False,0x3fdd4,-,-
5e728ee5bc7a66ea3cef6e3500e11f17,52,1,False,-,0x2cb4,-
5e7e71e9cb63e14af8e97eed39172e34,112,3,False,0x163a0,0x15690,0x164e0
5eae8b071cd48ba6809ee290d1306e0a,1749,3,False,0x3a82c,0x3a2ec,0x3a96c
5ec46bdfeeb9850aa5c00b8db5ace9b5,66,3,False,0x4f5a0,0x50f30,0x4f710
5ef5f03884f6bc8dcc4878f4e30e4b5c,21,3,False,0x2300c,0x22acc,0x2314c
