procedure id,#instructions,#samples,inYara?,f16c48ead435d2574abd2e18836681ba2ce788e7,8c29ad07039b6d5b672743efc007fc07f4197b68
9f6b53b33cc8f976af5746992cdc96d7,102,2,True,0x31020,0x30dfc
9fcaa22d529d124d81d58beab8f3348c,7,2,False,0x2fb20,0x2f8fc
a00f2244abe51452c3bc819ebc683e09,10,2,False,0x10f40,0x10d50
a05d71a92e98eae1cddf6520f1199b64,32,2,False,0x32690,0x323c0
a069c69699425a52d5c17f83c2707116,4,2,False,0x8d94,0x8ba4
a09e7834ca5baee376852a9e35f18e82,10,2,False,0x25c70,0x25a80
a0f00ef1b1a23a556b2fde41cbb3443f,109,2,False,0xbbac,0xff90
a17b33161cffe7095ca68f730b4502ab,38,2,False,0x6318,0x6128
a283c85a18054fef61a9e9915caefcaf,74,2,False,0xf988,0xf798
a44e8253e21f7e3769646c1143f5cd38,30,2,False,0x2e144,0x2df54
a476559990a052a11b0a41f3997b8889,264,2,True,0x112a4,0x110b4
a6f01cdd5379a60b459c3165e4730168,26,2,False,0x34f8c,0x34cbc
a73b1892469a3f677ffc37eafccd2aee,20,2,False,0xaa38,0xa848
a7e598d059d799f28e5db400c524cde6,53,2,False,0x197c8,0x195d8
a85c5d340eb872068a5eac51ca526157,47,2,False,0x2161c,0x2142c
a95f0b142b314a4db54b6848c0a8a4e3,37,2,False,0x361c4,0x35ef4
aa8ce85701c2e9267aa57b6b09ea63c8,44,2,True,0x7738,0x7548
aae071104f37d8667a6ff7054635c9ba,120,2,True,0x261f0,0x26000
aae245f5ffdd98c775f6dec279eaf7e9,41,2,False,0x2cf70,0x2cd80
ab0e204e72a2bbbc4931a5bdab2e579a,16,2,True,0x19b50,0x19960
ab8b2bdf805601685dcace122672a9d8,65,2,False,0x6b64,0x6974
ac52a783df4df909d25fa026305fe280,290,2,False,0x388c0,0x38620
ac9df61f15cad2da5511864dafbac514,42,2,False,0x1fac4,0x1f8d4
ad36020ff007beea06d37a38aac8bdaa,63,2,False,0x196cc,0x194dc
adc4b2b63896075489ce630bde32e152,51,2,True,0x30274,0x30050
adda68727f297f735c89d32256619dc7,14,2,True,0x2ff04,0x2fce0
af1d8c116cbacc199b4acf7fba6fc242,9,2,False,0x187e0,0x185f0
afc2a35bf91d79be2100e6754626e021,196,2,True,0x2f040,0x2ee50
b04f21f5900edf6718ebfeaabec0fe29,53,2,True,0xfd14,0xfb24
b0a1e05fc1ea7618ebce7844e3120d3a,15,2,False,0xfba4,0xf9b4
b0c74555f0c5653195e8e6e8c33bcc5a,111,2,False,0x1c0e8,0x1bef8
b0cc400795c03bf13583e3a704916cae,40,2,False,0x1c61c,0x1c42c
b1447ee747ec4444cb8400047773cf9b,69,2,False,0x17e8c,0x17c9c
b2f9d0dfff402562927263b9de9baed4,12,2,False,0x34840,0x34570
b3a0800d2fbd0b9c057a0c93036800e7,68,2,False,0x65dc,0x63ec
b3b3b77d0edfb64c498d4ceef30c7ea9,280,2,False,0x3b80,0x39b0
b3f1eb9242e47df1305c218e45c67f8d,54,2,False,0x393bc,0x3911c
b57b240b04e19ab2d86d8281c1008908,175,2,True,0xc8a4,0xc6b4
b61668eb32e09077d82c39aca4ba072e,3,2,False,0xf38c,0xf19c
b61b8bc5e26da6d464b9099892ab45f1,92,2,True,0x19280,0x19090
b79cbc1da4a2d5f5135405f9ebcfdbb2,58,2,False,0x39968,0x396c8
b8dd8eda463bdee6349939bd9cc42fb7,342,2,True,0x2d9a4,0x2d7b4
b9f9315ebf1751d3eb523c0cd3133d45,57,2,False,0x19e04,0x19c14
